"","values","all_small$favorite_count[all_small$Sentiment == ""Very Positive""]","all_small$Sentiment[all_small$Sentiment == ""Very Positive""]","all_small$text[all_small$Sentiment == ""Very Positive""]"
"25",25.298221281347,160,"Very Positive","Learn  work  and think in equal proportions  and youll be going in the right direction   Think Like a Champion"
"26",8.48528137423857,18,"Very Positive","  ChadMLadwig   realDonaldTrump Great interview Donald  Please run for President in 2016 "
"27",4,4,"Very Positive","  GLOBOGUS   realDonaldTrump You are my biggest inspiration  All the way in Australia but I know you are a great American god bless  Thanks "
"28",11.8321595661992,35,"Very Positive","Great piece by  EWErickson  RedState exposing how Karl 1 6  Rove cooked a poll in support of ObamaCare "
"29",11.13552872566,31,"Very Positive","  autumnallday   realDonaldTrump I wish you d run for office  The country needs more minds like yours    Thank you "
"30",0,0,"Very Positive"," AustinOdusanya1                     realDonaldTrump you are a great mentor  I have all your books   Great  good luck "
"31",5.65685424949238,8,"Very Positive","  MasterSasser   realDonaldTrump when are we going to have a PGA tour event  TrumpGolfDC   Best course I ve ever played   Very soon "
"32",7.21110255092798,13,"Very Positive","Five Star  TrumpCondosLV are the most luxurious   elite residences in the Vegas market  If you love it  own it"
"33",4.47213595499958,5,"Very Positive","  vinnypac   realDonaldTrump gr8 spot on foxandfriends  Insightful  honest  Intelligent xommon sense  U woulf make a phenomenal gov of NY "
"34",14.560219778561,53,"Very Positive","Trump International in Dubai  will be one of the great projects anywhere in the world  Congratulations to  damacofficial for their genius "
"35",12.328828005938,38,"Very Positive","As always   due to popular demand  TrumpRink will be open  Christmas eve   day as well as New Year s eve   day "
"36",13.7113092008021,47,"Very Positive","  OsamaBinBallinn  Out of all the  celebrities   realDonaldTrump is the only one that speaks the truth  We need more leaders like him "
"37",20.7846096908265,108,"Very Positive","  T Sharp4  Donald Trump would be the most ideal President  Thank you "
"38",2,1,"Very Positive"," kimkotter  Kim  keep up the great work   you are really doing well "
"39",8,16,"Very Positive","  yvonnecr   realDonaldTrump  please lets have kim novak on celebrity apprentice she would be great   I agree "
"40",8.71779788708135,19,"Very Positive","  Helmzyy   realDonaldTrump If you would buy the team that would be awesome  Just an extra win for my squad     nflcommish"
"41",29.2574776766556,214,"Very Positive","Never make a concession during negotiations that could lead to more demands  Be prudent  It s best to have your concessions predetermined"
"42",39.6988664825584,394,"Very Positive","Young entrepreneurs   Remember that your first deals are the most important of your career  Win   gain confidence "
"43",23.7486841740758,141,"Very Positive","It is wonderful to be in beautiful Doonbeg touring  Trump Ireland  I m truly honored by the wonderful welcome to my family   organization"
"44",12.328828005938,38,"Very Positive","  jason donoghue Delighted you are investing in Ireland  Great for our golf courses and our economy  Welcome to the emerald isle   Thank you"
"45",14.142135623731,50,"Very Positive","  JoyceGoodman64   realDonaldTrump running the US is much like running a business  who better at that than The Donald   Trump2016 "
"46",12.4899959967968,39,"Very Positive","Trump Collections summer line  exclusively available  Macys  is the pinnacle of style   prestige  Dress your best   "
"47",14.8323969741913,55,"Very Positive","  darryljordan  Run Donald Run  We need strong  decisive leader who ll make timely decisions  move policy forward   return US 2 prosperity  "
"48",44.6318272088428,498,"Very Positive","The only way to do great work is to love what you do  If you havent found it yet  keep looking  Dont settle   Steve Jobs"
"49",30.2654919008431,229,"Very Positive","Diligence is the mother of good luck     Benjamin Franklin"
"50",10.5830052442584,28,"Very Positive","  maathewdavis  Got my Dad a Trump tie from Macy s for Father s Day  he loves it  he says it s the best tie he s ever owned   Great "
"51",10,25,"Very Positive","  DonB1957  JessicahRabbit  troylaneroberts I own half dozen Trump ties  Make the best knots  always look great    Thanks "
"52",16.1245154965971,65,"Very Positive","  SenScottBrown is the most competitive GOP option against Obamas amnesty loving  SenatorSheehan  He can win "
"53",8.48528137423857,18,"Very Positive","  lansdalepadre  realDonaldTrump what a great sport    Good job    ALSIceBucketChallenge   Thank you "
"54",22.5388553391693,127,"Very Positive","Great event last night  trumpwinery with  GovernorVA to support  TheVFoundation  UVA  VCU "
"55",27.7848879788996,193,"Very Positive","Effective leadership is putting first things first  Effective management is discipline  carrying it out    Stephen Covey"
"56",7.21110255092798,13,"Very Positive","  Joeyssmyth  realDonaldTrump played turnberry ailsa today it was awesome good job "
"57",34.0587727318528,290,"Very Positive","The woman who is the Secret Service Director looks like she is way over her head Why can t the president appoint the best and the brightest "
"58",11.8321595661992,35,"Very Positive","  pga4terry   realDonaldTrump please become POTUS and make our nation great again "
"59",9.79795897113271,24,"Very Positive","  mrinho1   Orbitz  realDonaldTrump  TrumpWaikiki Looks like my kind of place D  Trump  You are the man my friend   Thanks  a great hotel "
"60",22,121,"Very Positive"," ThomTillis  you have run a wonderful campaign  Good luck today "
"61",18.4390889145858,85,"Very Positive","  spazosaurus   FrankCaliendo  MikeAndMike  realDonaldTrump that segment was awesome  On all sides  Great start for my day  thanks  "
"62",38.4187454245971,369,"Very Positive","  greta DonaldTrump sent me check for  25k payable to  Tahmooressi I forwarded check  THANK U DONALD TRUMP  very kind "
"63",18.6547581061776,87,"Very Positive","Congratulations to Bill OBrien on being named the Republican Speaker of the NH House  Well earned   well deserved  A great guy "
"64",17.8885438199983,80,"Very Positive","Congrats  TrumpChicago for being named  3 Best Business Hotel in Chicago in  TravlandLeisure s 2014 World s Best "
"65",10,25,"Very Positive","  tip66   realDonaldTrump we all love you in Australia  Visit us when youre President   A great place "
"66",9.16515138991168,21,"Very Positive","  GZervs  Love listening to  realDonaldTrump on  foxandfriends it s the perfect start to my morning   week  "
"67",10.5830052442584,28,"Very Positive","  frankdimauro   realDonaldTrump is a great businessman  I learned so much from The Art of the Deal  Best of luck  "
"68",13.5646599662505,46,"Very Positive","The Trump Signature Collection  exclusively available at  Macys  tops all menswear styles  Dress to impress   "
"69",12.1655250605964,37,"Very Positive","  JohnG500  Love  realDonaldTrump and  ApprenticeNBC  This is gonna be another awesome season   CelebApprentice "
"70",10.5830052442584,28,"Very Positive","  YankeeRunnerLV Please Please Please give STRONG AND SERIOUS consideration running in 2016 and saving this country  U have my vote  Trump16"
"71",6,9,"Very Positive","  sassysexylove     AdamAngus15   realDonaldTrump  CelebrityApprentice   my new favorite show  Great   My mom I watch together   Bonding "
"72",11.4891252930761,33,"Very Positive","The new Red Tiger course at  TrumpDoral   Follow  TrumpGolf for more great photos "
"73",11.13552872566,31,"Very Positive","  OrianaUK   realDonaldTrump my daughter n I watching  CelebApprentice very inspiration  u r a very humble gentleman  love the boardroom "
"74",12.328828005938,38,"Very Positive","  VladimirRussia7   realDonaldTrump You are the best  billionare and the great teacher I love your inspiring books   Thanks and good luck "
"75",25.4558441227157,162,"Very Positive","Golf is a game of respect and sportsmanship  we have to respect its traditions and its rules     Jack Nicklaus"
"76",10,25,"Very Positive","  JustSoldCom   realDonaldTrump trump has a very good chance at 2016  We need you Mr Trump  The US needs you   "
"77",10.1980390271856,26,"Very Positive","  15pinnacle  I have to give DonaldTrump credit     he lets everyone  tourists into his beautiful  hotel  residence   and it s beautiful   "
"78",2.82842712474619,2,"Very Positive"," apageor2  Very good  must be tough "
"79",14.6969384566991,54,"Very Positive","  DdEeSsM  This planet would be a more prosperous and safe place if we had the awesome  realDonaldTrump in charge   donaldforpresident "
"80",11.4891252930761,33,"Very Positive","  IPSInvestments  realDonaldTrump The world would be a better place if businessmen like Donald Trump had more say in the day to day business"
"81",9.16515138991168,21,"Very Positive","  MarcoRubioTNews  Is America ready for Donald Trump as president     Wayne Allen Root wow  great words and delivery "
"82",16.9705627484771,72,"Very Positive","  rtesta  Like I said before we need to run the country more like a business  Who better than  realDonaldTrump to turn us around   Trump2016"
"83",10.770329614269,29,"Very Positive","  erikwill   realDonaldTrump  CrainsChicago  TrumpChicago I appreciate the consistent focus on quality across Trump brands  "
"84",36.7151195013716,337,"Very Positive","  nanaelaine7  realDonaldTrump only YOU can make it GREAT again  Your plan is the only one inside reality  MAKE AMERICA GREAT with TRUMP "
"85",49.6789693934969,617,"Very Positive","  rebamoreland you must be doing something right  cause the left has circled the war wagons  Stay strong in your convictions  WE LOVE IT   "
"86",73.2939288072348,1343,"Very Positive","We need leaders who can negotiate great deals for Americans  It is common sense  Lets Make America Great Again  "
"87",56.7097875150313,804,"Very Positive","  MDTaylorJr Everyone else have fun being politically correct  Meanwhile   realDonaldTrump is speaking the truth   Trump2016 "
"88",97.4268956705488,2373,"Very Positive","Many of Hillarys donors are the same donors as Jeb Bushsall rich  will have total controlknow them well "
"89",98.6711710683521,2434,"Very Positive","  Shelia1965A   God Bless You Donald Trump  I am so glad you decided to run  The Democrats have run this Country into the ground  "
"90",68.818602136341,1184,"Very Positive","  GregWescott   realDonaldTrump  seanhannity  FoxNews Another great interview  You were point on      As good as it gets    Thanks "
"91",79.2212092813534,1569,"Very Positive","  jimmy jkmorgan    JoeyL3rd  foxandfriends  EricTrump Totally agree  Great Father with a great family   winning combination at life  Thanks"
"92",149.799866488592,5610,"Very Positive","Great poll numbers just coming out of New Hampshire  BIG lead for  Trump  according to  CNN "
"93",157.987341265052,6240,"Very Positive","Great news in Georgia   The just out  Landmark poll shows me in first with 43   Wow   "
"94",88.8369292580512,1973,"Very Positive"," HerschelWalker  thanks for your support  it is very much appreciated "
"95",119.465476184545,3568,"Very Positive","Why isn t  chucktodd using the much newer  CNN Poll when discussing how well I am doing instead of the older Q Poll  CNN even better "
"96",136.908728720999,4686,"Very Positive","Iowa was fantastic last night  amazing crowd and people  I m now in Florida  getting ready to go to South Carolina  Big crowd  very exciting"
"97",120.166551086398,3610,"Very Positive","  stylin1188  Donald Trump is running the most cost effective presidential campaign in modern history  Thank you "
"98",108.240473021878,2929,"Very Positive","   TheBrodyFile Exclusive   realDonaldTrump Says He Will Protect Evangelicals Better Than  tedcruz   CBNNews  2016 "
"99",199.118055434458,9912,"Very Positive","Good morning America  Thank you for all of your support in the latest Drudge poll   "
"100",190.89263998384,9110,"Very Positive","We will MAKE AMERICA SAFE   GREAT AGAIN   Trump2016  VoteTrumpSC  "
"101",174.298594371842,7595,"Very Positive","My sons  Don and Eric  are on  foxandfriends now 7 35  Great kids  enjoy "
"102",282.644653230872,19972,"Very Positive","Thank you to the Governor of Florida  Rick Scott  for your endorsement  I greatly appreciate your support "
"103",186.343768342276,8681,"Very Positive","A very interesting piece  by a very good writer   KirstenPowers of  USATODAY and  FoxNews  "
"104",256.538496136545,16453,"Very Positive","The opening of Trump Turnberry in Scotland was a big success  Good timing  I was here for BREXIT  Very exciting news conference today "
"105",358.067032830446,32053,"Very Positive","Thank you for your incredible support Wisconsin and Governor  ScottWalker  It is time to  DrainTheSwamp    MAGA  "
"106",578.840219749803,83764,"Very Positive","Big day on Thursday for Indiana and the great workers of that wonderful state We will keep our companies and jobs in the U S  Thanks Carrier"
